epoch,train_loss,train_acc,train_clean_loss,train_adv_loss,train_adv_acc,test_loss,test_acc,epoch_time_sec
77,0.555713,0.835800,0.460445,0.650982,0.774660,0.598739,0.796700,148.026
78,0.546932,0.838660,0.459864,0.633999,0.784220,0.598086,0.803500,175.599
79,0.546682,0.839540,0.455397,0.637966,0.779260,0.585121,0.808500,170.294
80,0.542887,0.840140,0.451452,0.634323,0.780480,0.593002,0.798400,166.077
81,0.534694,0.839460,0.449110,0.620279,0.787720,0.596254,0.800500,179.531
82,0.542819,0.840420,0.448679,0.636960,0.780120,0.586437,0.804900,244.518
83,0.536433,0.842720,0.445665,0.627201,0.783800,0.602047,0.798000,232.422
84,0.526454,0.842940,0.440458,0.612450,0.789820,0.596309,0.799100,233.585
85,0.536014,0.844080,0.441068,0.630960,0.782460,0.575528,0.809500,243.263
86,0.547571,0.844840,0.439463,0.655679,0.772860,0.605100,0.799700,265.924
87,0.540707,0.846120,0.438604,0.642810,0.777340,0.583698,0.807600,260.120
88,0.539342,0.842780,0.440055,0.638629,0.779180,0.598841,0.797700,162.608
89,0.529709,0.843180,0.436281,0.623137,0.785580,0.604245,0.796600,226.630
90,0.527639,0.846300,0.435446,0.619831,0.786100,0.616360,0.793000,248.428
91,0.529456,0.844640,0.436984,0.621928,0.785160,0.597535,0.798600,242.477
92,0.537247,0.845880,0.432490,0.642004,0.776320,0.615301,0.797600,241.132
93,0.536664,0.844900,0.435762,0.637565,0.779640,0.587517,0.804800,306.639
94,0.528900,0.846080,0.428537,0.629263,0.782780,0.606493,0.795100,220.278
95,0.527217,0.847400,0.430394,0.624040,0.783760,0.573408,0.807100,217.449
96,0.510094,0.849180,0.427535,0.592654,0.796160,0.589293,0.806100,216.504
97,0.528148,0.846920,0.432236,0.624059,0.786380,0.587538,0.804100,213.266
98,0.534763,0.850160,0.427045,0.642480,0.779140,0.600571,0.805900,196.702
99,0.518739,0.848620,0.425882,0.611595,0.789200,0.589666,0.800500,169.913
100,0.514306,0.849060,0.427579,0.601033,0.792940,0.592873,0.802100,194.261
