epoch,train_loss,val_loss,train_rmse,val_rmse,train_mae,val_mae,train_mse,val_mse,train_nse,val_nse,train_pred_mean,val_pred_mean,train_target_mean,val_target_mean,train_input_mean,val_input_mean,val_csi_gamma_0_001,val_csi_gamma_0_01,val_path_iou_gamma_0_001,val_path_iou_gamma_0_01,learning_rate,epoch_time_sec
1,0.03952663252130151,0.4040803611278534,0.1988130558337708,0.6356731554890044,0.10337917772634929,0.3424088325317959,0.03952663116996206,0.404080360609348,-0.37368221019151115,-0.40601730636238353,-0.06052910536527634,-0.05461082234978676,0.08556840568780899,0.28728044033050537,0.08495131880044937,0.27531808614730835,0.0,0.0,0.0,0.0,0.0001,5.264407300011953
2,0.09365300531499088,0.40055903792381287,0.30602778719756457,0.6328973344974937,0.1393618503865967,0.33765847989584213,0.09365300653703786,0.4005590360140325,-0.26163026788946575,-0.39376468583198454,-0.05522787570953369,-0.04986099526286125,0.16724513471126556,0.28728044033050537,0.15485866367816925,0.27531808614730835,0.0,0.0,0.0,0.0,0.0001,4.892511399986688
3,0.04132398497313261,0.3973386287689209,0.2032830182880096,0.6303480315055405,0.10689021868966211,0.333214173033946,0.04132398552428324,0.39733864082290987,-0.37739042318537774,-0.3825591638283503,-0.05178079009056091,-0.04541710391640663,0.03457072749733925,0.28728044033050537,0.029858535155653954,0.27531808614730835,0.0,0.0,0.0,0.0,0.0001,5.064180999994278
4,0.12591508589684963,0.39396531879901886,0.35484515466014394,0.6276665711421191,0.17043411081888843,0.3285290167927673,0.12591508378578148,0.39396532452930483,-0.29370478045754567,-0.3708215453964854,-0.04731073975563049,-0.04073253273963928,0.06833577156066895,0.28728044033050537,0.06481810659170151,0.27531808614730835,0.0,0.0,0.0,0.0,0.0001,4.970934500015574
5,0.03551909467205405,0.3906038701534271,0.18846510018973323,0.6249830953939245,0.0861380766270979,0.3237994689180938,0.03551909398952618,0.39060386952817133,-0.26326941938000314,-0.359125198909799,-0.0427623949944973,-0.036003515124320984,0.0839548259973526,0.28728044033050537,0.08347910642623901,0.27531808614730835,3.6434161914304186e-05,0.0,4.065867046147591e-05,0.0,0.0001,5.036612600000808
