epoch,train_loss,val_loss,train_rmse,val_rmse,train_mae,val_mae,train_mse,val_mse,train_nse,val_nse,val_csi_gamma_0_001,val_csi_gamma_0_01,val_path_iou_gamma_0_001,val_path_iou_gamma_0_01,learning_rate,epoch_time_sec
1,0.03069961520668585,0.37022197246551514,0.17521305399267165,0.6084586884404753,0.04387933957395649,0.28779921128104996,0.030699614289438865,0.3702219755387035,-0.0669139453804799,-0.28820540552409635,0.0,0.0,0.0,0.0,0.0001,5.726236299989978
2,0.08141733121374273,0.37022197246551514,0.2853372279991877,0.6084586884404753,0.08476789748843375,0.28779921128104996,0.08141733368226044,0.3702219755387035,-0.09679951880427007,-0.28820540552409635,0.0,0.0,0.0,0.0,0.0001,4.777607999974862
3,0.033179047517478466,0.37022197246551514,0.18215116645646648,0.6084586884404753,0.05636840731993201,0.28779921128104996,0.03317904744145136,0.3702219755387035,-0.10590741954000027,-0.28820540552409635,0.0,0.0,0.0,0.0,0.0001,5.171722099999897
4,0.11288747563958168,0.37022197246551514,0.33598731542339033,0.6084586884404753,0.1247333380597553,0.28779921128104996,0.1128874761254168,0.3702219755387035,-0.159853634102336,-0.28820540552409635,0.0,0.0,0.0,0.0,0.0001,5.129716899973573
