epoch,train_loss,val_loss,train_rmse_raw,val_rmse_raw,train_rmse_clamped,val_rmse_clamped,train_mae_raw,val_mae_raw,train_mae_clamped,val_mae_clamped,train_mse_raw,val_mse_raw,train_nse_raw,val_nse_raw,val_csi_gamma_0_001_raw,val_csi_gamma_0_001_clamped,val_csi_gamma_0_01_raw,val_csi_gamma_0_01_clamped,val_path_iou_gamma_0_001_raw,val_path_iou_gamma_0_001_clamped,val_path_iou_gamma_0_01_raw,val_path_iou_gamma_0_01_clamped,train_pred_min,val_pred_min,train_pred_max,val_pred_max,train_pred_mean,val_pred_mean,train_negative_prediction_ratio,val_negative_prediction_ratio,train_target_mean,val_target_mean,learning_rate,epoch_time_sec
11,0.026664763732351836,0.13233831110462713,0.0351226321455145,0.07824578957966925,0.03510996691989321,0.07800610048536198,0.010930491634076592,0.04208215103886026,0.010865204081085818,0.04155949023325081,0.001233599288829128,0.0061224035869458775,0.9774449277640463,0.9849884158503212,0.7279940327023183,0.7279940327023183,0.6973906406637004,0.6973906406637004,0.011843245392521913,0.011843245392521913,0.01809402961793439,0.01809402961793439,-0.012273401021957397,-1.0006747245788574,4.061636447906494,22.087175369262695,0.018964381888508797,0.31658080220222473,0.0005172283854335546,0.054247744381427765,0.02699740044772625,0.32888263463974,0.0001,2228.893348591002
12,0.02580983615143944,0.32535204827115777,0.034554992918894044,0.12268598585987205,0.034541330330333894,0.12256525277181282,0.010679850858246394,0.07732978179410344,0.01061464946584134,0.07711452880751703,0.0011940475356248177,0.015051851126408724,0.9781680901751549,0.9630942118428301,0.6761298594856743,0.6761298594856743,0.6386402296727343,0.6386402296727343,0.00997576402952969,0.00997576402952969,0.014236884286358328,0.014236884286358328,-0.0717487707734108,-0.9665548801422119,11.200193405151367,22.126638412475586,0.0970410406589508,0.3567364811897278,0.17192913591861725,0.013844436034560204,0.09759671986103058,0.32888263463974,0.0001,2377.80297764
13,0.02550665419031182,0.10847080549162426,0.034351438824412925,0.07083935736683875,0.03433885886942924,0.07059536616498699,0.010568549311731694,0.03383334197416784,0.010511596393972639,0.03353955273684278,0.0011800213493073836,0.00501821455214669,0.978424544323695,0.9876957882699348,0.6874069481086772,0.6874069481086772,0.7093419594935213,0.7093419594935213,0.010255467057188541,0.010255467057188541,0.019117944671763504,0.019117944671763504,-0.4814166724681854,-1.3178880214691162,16.447526931762695,20.210735321044922,0.12001596391201019,0.30419477820396423,0.006797362118959427,0.027975495904684067,0.12163978070020676,0.32888263463974,0.0001,2391.384736676002
14,0.024880395596303118,0.15692765361974748,0.03392710678032653,0.08520555755231309,0.03391398904682399,0.08502253977698362,0.010422294643641259,0.0426511715793788,0.010366348223713536,0.04232983435457578,0.0011510485744836783,0.007259987037800538,0.9789542811211752,0.9821991633194691,0.686917580626225,0.686917580626225,0.6870971310592765,0.6870971310592765,0.01031421084123051,0.01031421084123051,0.01757987189274389,0.01757987189274389,-0.036076098680496216,-1.0823811292648315,10.56558609008789,21.48478126525879,0.04734377935528755,0.3273228108882904,0.02288268692791462,0.025743728503584862,0.043778952211141586,0.32888263463974,0.0001,2352.354986571001
15,0.02429499927541834,0.20611401048771452,0.0335256055043026,0.09764993078446434,0.03351102150935177,0.09740973605711033,0.01026761189124064,0.053317257433028224,0.010211758751296996,0.05306699872049918,0.001123966224430125,0.009535508982210675,0.9794494535945472,0.9766197877249253,0.6748841572507316,0.6748841572507316,0.6557702075522588,0.6557702075522588,0.00995064526740564,0.00995064526740564,0.0153263979482974,0.0153263979482974,-0.0756281241774559,-2.09440279006958,10.83970832824707,21.88102149963379,0.046835437417030334,0.3386690318584442,0.03424173220992088,0.014680860564112663,0.04367280378937721,0.32888263463974,0.0001,2290.2029732189985
16,0.023680476945926635,0.15255199272311135,0.03309888822949588,0.08400925338023754,0.033082758995377666,0.0832954745028466,0.010137879376250252,0.031668983123848346,0.010080073200726606,0.031274979605030166,0.0010955364020286608,0.007057554653504953,0.9799692631889323,0.9826955093587849,0.7070464717898265,0.7070464717898265,0.7147160304214469,0.7147160304214469,0.011338757835650973,0.011338757835650973,0.01996094203948311,0.01996094203948311,-0.06455086916685104,-1.9275542497634888,10.92656135559082,24.09344482421875,0.09232454001903534,0.3133104741573334,0.028297297656536102,0.02716078609228134,0.08571970462799072,0.32888263463974,0.0001,2309.587011539006
17,0.024016472459778615,0.1059730684991633,0.03333287653438753,0.07001900506491453,0.03331769267060796,0.06990440193992382,0.010179993129391973,0.029607339671989568,0.010126229183310166,0.029349751557203832,0.0011110806580567228,0.004902661070280525,0.9796850526680728,0.9879791150373045,0.7038460748196523,0.7038460748196523,0.7324826897781184,0.7324826897781184,0.011049355307017405,0.011049355307017405,0.021812765497976307,0.021812765497976307,-0.13496318459510803,-0.6433127522468567,8.678672790527344,22.343679428100586,0.037849701941013336,0.3085021674633026,0.016530461609363556,0.028756767511367798,0.03795056790113449,0.32888263463974,0.0001,2292.7376961659975
18,0.02357507656062395,0.15110259842169418,0.03302514563306138,0.08360921517575327,0.03300868358890067,0.08296866489909441,0.010079779820871972,0.03956869685025993,0.01002645447685579,0.039137429360945365,0.0010906602440849133,0.00699050086230541,0.9800584185880183,0.9828599192371688,0.6886655701341254,0.6886655701341254,0.6898230127533925,0.6898230127533925,0.010425284564254213,0.010425284564254213,0.017818223553667214,0.017818223553667214,-0.001842699944972992,-1.4966517686843872,1.0478875637054443,22.23792839050293,0.0036760608199983835,0.32766368985176086,0.0028258648235350847,0.024059586226940155,0.002190257189795375,0.32888263463974,0.0001,2282.130487893999
19,0.023508492717849445,0.1219215149457535,0.032978475630488654,0.07510318567210159,0.03296055770858752,0.07473110952850462,0.010073609905641245,0.03655167480711665,0.010017222499138312,0.03624902644491884,0.001087579854910734,0.005640488498098164,0.9801147402963095,0.9861700283994616,0.6916584986632055,0.6916584986632055,0.6976415155217829,0.6976415155217829,0.010584483744480953,0.010584483744480953,0.018510610990417536,0.018510610990417536,-0.004044249653816223,-1.4480839967727661,1.6072828769683838,22.309555053710938,0.006561929360032082,0.3248150050640106,0.00010292453225702047,0.022169163450598717,0.006357456091791391,0.32888263463974,0.0001,2288.1938256079957
20,0.023250109259325403,0.12764364527015204,0.032796740461950996,0.07684538320513794,0.032778769942241624,0.07649703596556098,0.00999522239728437,0.035954190141959635,0.009938226476592864,0.03565989918687618,0.0010756261849285734,0.005905212919944496,0.9803333006356729,0.9855209478743726,0.6889379185021659,0.6889379185021659,0.6954620233600848,0.6954620233600848,0.01045554469584357,0.01045554469584357,0.018344177972080652,0.018344177972080652,-0.1389714479446411,-1.3666244745254517,10.903495788574219,22.24279022216797,0.06839204579591751,0.32321128249168396,0.028899211436510086,0.019953029230237007,0.06859318912029266,0.32888263463974,0.0001,2274.7109515440025
